Date,Open,High,Low,Close,Volume,Adj Close
2017-01-26,16.69,16.84,16.61,16.74,8602900,16.74
2017-01-25,16.69,16.74,16.61,16.69,11284800,16.69
2017-01-24,16.58,16.70,16.58,16.69,14985200,16.69
2017-01-23,16.66,16.69,16.51,16.57,14616500,16.57
2017-01-20,16.58,16.66,16.50,16.60,14288200,16.60
2017-01-19,16.43,16.64,16.43,16.54,12180600,16.54
2017-01-18,16.42,16.55,16.36,16.48,11478600,16.48
2017-01-17,16.46,16.54,16.37,16.41,12555200,16.41
2017-01-16,16.23,16.60,16.10,16.56,53304700,16.56
2017-01-13,16.10,16.29,16.10,16.27,19034100,16.27
2017-01-12,16.18,16.20,16.11,16.12,8296100,16.12
2017-01-11,16.24,16.24,16.15,16.16,9193300,16.16
2017-01-10,16.18,16.24,16.14,16.19,7996700,16.19
2017-01-09,16.24,16.29,16.13,16.20,14908700,16.20
2017-01-06,16.30,16.30,16.13,16.18,17195500,16.18
2017-01-05,16.30,16.38,16.24,16.30,26437600,16.30
2017-01-04,16.29,16.35,16.18,16.33,29658700,16.33
2017-01-03,16.21,16.44,16.17,16.30,16237100,16.30
2017-01-02,16.21,16.21,16.21,16.21,000,16.21
2016-12-30,16.07,16.23,16.04,16.21,12262100,16.21
2016-12-29,16.09,16.15,15.99,16.07,11851300,16.07
2016-12-28,16.14,16.19,16.03,16.09,14441500,16.09
2016-12-27,16.25,16.32,16.13,16.14,10665800,16.14
2016-12-26,16.13,16.28,16.01,16.25,14482400,16.25
2016-12-23,16.17,16.22,16.07,16.19,11187900,16.19
2016-12-22,16.32,16.33,16.14,16.19,11499100,16.19
2016-12-21,16.26,16.37,16.25,16.32,12638800,16.32
2016-12-20,16.52,16.56,16.12,16.28,22525800,16.28
2016-12-19,16.65,16.70,16.51,16.52,8483400,16.52
2016-12-16,16.70,16.83,16.63,16.66,14531300,16.66
2016-12-15,17.13,17.13,16.70,16.70,30809600,16.70
2016-12-14,17.17,17.42,17.12,17.18,17860500,17.18
2016-12-13,17.36,17.44,17.16,17.17,15602800,17.17
2016-12-12,17.34,17.57,17.19,17.49,48359500,17.49
2016-12-09,17.14,17.46,17.12,17.33,28835600,17.33
2016-12-08,17.15,17.20,17.04,17.14,13234500,17.14
2016-12-07,17.17,17.20,17.06,17.07,15550700,17.07
2016-12-06,17.28,17.42,17.20,17.22,20948000,17.22
2016-12-05,16.95,17.32,16.91,17.30,38201300,17.30
2016-12-02,17.10,17.18,16.80,17.10,33895800,17.10
2016-12-01,17.15,17.27,17.05,17.15,18449200,17.15
2016-11-30,17.28,17.45,17.10,17.16,20135000,17.16
2016-11-29,17.21,17.35,17.11,17.26,29530000,17.26
2016-11-28,17.15,17.49,17.15,17.21,33835200,17.21
2016-11-25,16.89,17.10,16.81,17.09,23335200,17.09
2016-11-24,16.93,17.12,16.86,16.89,21043100,16.89
2016-11-23,16.68,17.23,16.66,16.93,45036400,16.93
2016-11-22,16.67,16.72,16.63,16.68,21080900,16.68
2016-11-21,16.59,16.73,16.54,16.64,21432400,16.64
2016-11-18,16.59,16.64,16.55,16.60,29274300,16.60
2016-11-17,16.58,16.63,16.52,16.60,22718500,16.60
2016-11-16,16.59,16.63,16.54,16.60,12395500,16.60
2016-11-15,16.59,16.61,16.50,16.59,15714100,16.59
2016-11-14,16.53,16.70,16.52,16.60,18124400,16.60
2016-11-11,16.56,16.63,16.45,16.59,21539100,16.59
2016-11-10,16.55,16.64,16.48,16.57,20484500,16.57
2016-11-09,16.47,16.53,16.36,16.46,39826500,16.46
